,created_at,text,text_token,text_string,text_string_fdist,text_string_lem,is_equal,neg,neu,pos,compound,sentiment
0,2022-06-19T01:30:19.000Z,"the power by @naomiallthenews raises timely questions about the way people are connected by gender, family, community, and country. https://t.co/n0clt6p8vk","['power', 'naomiallthenews', 'raises', 'timely', 'questions', 'way', 'people', 'connected', 'gender', 'family', 'community', 'country', 'co', 'n0clt6p8vk']",power naomiallthenews raises timely questions way people connected gender family community country n0clt6p8vk,power naomiallthenews raises timely questions way people connected gender family community country n0clt6p8vk,power naomiallthenews raises timely questions way people connected gender family community country n0clt6p8vk,True,0.0,1.0,0.0,0.0,neutral
1,2022-06-17T22:21:56.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
2,2022-06-17T22:21:30.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
3,2022-06-17T22:21:07.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
4,2022-06-17T22:19:15.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
5,2022-06-17T22:16:40.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
6,2022-06-17T22:14:49.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
7,2022-06-17T22:12:24.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
8,2022-06-17T22:11:06.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
9,2022-06-17T22:10:43.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
10,2022-06-17T21:53:18.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
11,2022-06-17T21:53:01.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
12,2022-06-17T21:52:47.000Z,i’ve just published my latest suggested books for summer reading.,"['published', 'suggested', 'books', 'summer', 'reading']",published suggested books summer reading,published suggested books summer reading,published suggested books summer reading,True,0.0,1.0,0.0,0.0,neutral
13,2022-06-17T20:57:52.000Z,"important guidance from @theaddf founder @a_hfillit outlining the path forward on alzheimer’s: 
▪️ more – and better – biomarkers
▪️ exploratory trials
▪️ repurposed drugs
https://t.co/p9rvdaugk4","['important', 'guidance', 'theaddf', 'founder', 'a_hfillit', 'outlining', 'path', 'alzheimer', 'better', 'biomarkers', 'exploratory', 'trials', 'repurposed', 'drugs', 'co']",important guidance theaddf founder a_hfillit outlining path alzheimer better biomarkers exploratory trials repurposed drugs,important guidance theaddf founder a_hfillit outlining path alzheimer better biomarkers exploratory trials repurposed drugs,important guidance theaddf founder a_hfillit outlining path alzheimer better biomarkers exploratory trials repurposed drugs,True,0.0,0.719,0.281,0.5719,positive
14,2022-06-17T18:21:12.000Z,"my advice is simple: read a lot and discover a skill you enjoy. for some, that means being great at science or a great communicator. there’s so much opportunity to do good in the world.","['advice', 'simple', 'read', 'discover', 'skill', 'enjoy', 'means', 'great', 'science', 'great', 'communicator', 'much', 'opportunity', 'good', 'world']",advice simple read discover skill enjoy means great science great communicator much opportunity good world,advice simple read discover skill enjoy means great science great communicator much opportunity good world,advice simple read discover skill enjoy means great science great communicator much opportunity good world,True,0.0,0.369,0.631,0.9524,positive
15,2022-06-17T18:21:11.000Z,"it made me think a lot about what i would tell my younger self. i remember this guy. a lot has changed since this photo, but i remember how excited i felt for the next chapter. https://t.co/8ajphnxp31","['made', 'think', 'would', 'tell', 'younger', 'self', 'remember', 'guy', 'changed', 'since', 'photo', 'remember', 'excited', 'felt', 'next', 'chapter', 'co', '8ajphnxp31']",made think would tell younger self remember guy changed since photo remember excited felt next chapter 8ajphnxp31,made think would tell younger self remember guy changed since photo remember excited felt next chapter 8ajphnxp31,made think would tell younger self remember guy changed since photo remember excited felt next chapter 8ajphnxp31,True,0.0,0.87,0.13,0.34,positive
16,2022-06-17T18:21:11.000Z,i was recently asked what advice i would give to young people who want to make a positive impact on the world.,"['recently', 'asked', 'advice', 'would', 'give', 'young', 'people', 'want', 'positive', 'impact', 'world']",recently asked advice would give young people want positive impact world,recently asked advice would give young people want positive impact world,recently asked advice would give young people want positive impact world,True,0.0,0.647,0.353,0.5994,positive
17,2022-06-16T17:04:01.000Z,"what a great meeting with wa’s teacher of the year, jared koepp. he taught me a lot about the challenges that native students face. https://t.co/wbpqjupqm1","['great', 'meeting', 'wa', 'teacher', 'year', 'jared', 'koepp', 'taught', 'challenges', 'native', 'students', 'face', 'co', 'wbpqjupqm1']",great meeting teacher year jared koepp taught challenges native students face wbpqjupqm1,great meeting teacher year jared koepp taught challenges native students face wbpqjupqm1,great meeting teacher year jared koepp taught challenges native students face wbpqjupqm1,True,0.0,0.649,0.351,0.6597,positive
18,2022-06-15T22:25:37.000Z,i guess we finally ran out of microchips. https://t.co/dptfyigl4k,"['guess', 'finally', 'ran', 'microchips', 'co', 'dptfyigl4k']",guess finally ran microchips dptfyigl4k,guess finally ran microchips dptfyigl4k,guess finally ran microchips dptfyigl4k,True,0.0,1.0,0.0,0.0,neutral
